epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,36587.3,1.13873,2.12118,0.82991,1.03741,0,0.61636,0.43872,0.44209,0.28084,0.56812,0.39811,0.3791,0.17249,1.39878,2.45705,1.06295,1.14558,0,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,37403.6,1.13657,2.11276,0.82794,1.03857,0,0.60592,0.44045,0.44071,0.27999,0.55993,0.39661,0.3768,0.17128,1.39831,2.46181,1.06511,1.14445,0,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,38207.5,1.14114,2.109,0.82327,1.0355,0,0.61003,0.43757,0.4413,0.28061,0.56115,0.3964,0.37793,0.17155,1.39563,2.46875,1.06226,1.14018,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,39017.1,1.1381,2.10487,0.82332,1.03629,0,0.61672,0.43713,0.44115,0.2799,0.56422,0.39618,0.37604,0.17101,1.4014,2.4711,1.06192,1.14651,0,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,39824.1,1.13596,2.10523,0.82009,1.03428,0,0.61736,0.43768,0.44089,0.2804,0.56891,0.39651,0.37753,0.17176,1.39876,2.46284,1.05923,1.14664,0,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,40624.5,1.13368,2.10132,0.8199,1.03467,0,0.61967,0.4369,0.43997,0.27957,0.57162,0.39672,0.3784,0.17128,1.39908,2.46825,1.06426,1.14675,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,41410.4,1.12815,2.09442,0.81412,1.03121,0,0.61529,0.43951,0.44069,0.28011,0.56517,0.39969,0.37949,0.17251,1.40034,2.4658,1.06362,1.14683,0,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,42206.3,1.12682,2.08639,0.81143,1.02959,0,0.61489,0.44041,0.4411,0.27999,0.5654,0.39976,0.3786,0.1717,1.39953,2.47361,1.06952,1.14583,0,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,42998.7,1.12704,2.09109,0.81085,1.03043,0,0.61619,0.43921,0.44167,0.27977,0.56802,0.39924,0.3789,0.17194,1.40208,2.47245,1.06567,1.14845,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,43795.6,1.12314,2.08848,0.80518,1.02757,0,0.61701,0.43967,0.44203,0.28055,0.5708,0.39723,0.37922,0.17264,1.40291,2.46756,1.06345,1.14744,0,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,44576.8,1.1229,2.08473,0.80626,1.02836,0,0.61514,0.44028,0.44125,0.28022,0.56988,0.39559,0.3768,0.17201,1.40132,2.46772,1.06186,1.14583,0,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,45370.4,1.11956,2.0814,0.80036,1.02538,0,0.61915,0.43768,0.44152,0.27982,0.57346,0.39498,0.37796,0.1721,1.40127,2.46747,1.0626,1.14623,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,46163.2,1.11434,2.07162,0.79721,1.02333,0,0.6203,0.43796,0.44098,0.27955,0.57208,0.39786,0.37797,0.17229,1.40157,2.46646,1.0621,1.14828,0,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,46965.3,1.11916,2.0731,0.79874,1.02256,0,0.61938,0.43713,0.44088,0.27992,0.57226,0.39782,0.37837,0.17179,1.40102,2.46693,1.06385,1.14862,0,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,47751.6,1.11516,2.07366,0.7944,1.02245,0,0.62016,0.43745,0.44058,0.27937,0.57097,0.39677,0.37573,0.17085,1.40333,2.47143,1.06582,1.14924,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,48564.2,1.11181,2.06253,0.79117,1.02087,0,0.61333,0.43846,0.44027,0.27921,0.56579,0.39714,0.37485,0.17056,1.40369,2.47581,1.06787,1.14967,0,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,49380.2,1.10921,2.06504,0.78948,1.02048,0,0.61312,0.4406,0.44072,0.27906,0.56417,0.39893,0.37484,0.17134,1.40582,2.47763,1.06656,1.15034,0,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,50203.6,1.10762,2.06058,0.78646,1.01864,0,0.61587,0.43859,0.44094,0.27922,0.56186,0.39846,0.37424,0.17107,1.40606,2.47452,1.06625,1.15143,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,51015.7,1.10593,2.06291,0.78441,1.01881,0,0.61442,0.44066,0.44082,0.27935,0.563,0.39751,0.37475,0.17169,1.40618,2.47611,1.06926,1.15136,0,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
